index,symbol
531,EIFFL
532,EIHAHOTELS
533,EIHOTEL
534,EIMCOELECO
535,EKC
536,ELDEHSG
537,ELECON
538,ELECTCAST
539,ELECTHERM
540,ELGIEQUIP
541,ELGIRUBCO
542,ELIN
543,EMAMILTD
544,EMAMIPAP
545,EMBDL
546,EMCURE
547,EMIL
548,EMKAY
549,EMMBI
550,EMMIL
551,EMSLIMITED
552,EMUDHRA
553,EMULTIMQ
554,ENDURANCE
555,ENERGYDEV
556,ENGINERSIN
557,ENIL
558,ENTERO
559,EPACK
560,EPIGRAL
561,EPL
562,EQUAL50ADD
563,EQUIPPP
564,EQUITASBNK
565,ERIS
566,ESABINDIA
567,ESAFSFB
568,ESCONET
569,ESCORTS
570,ESFL
571,ESG
572,ESILVER
573,ESSARSHPNG
574,ESSENTIA
575,ESTER
576,ETHOSLTD
577,EUREKAFORB
578,EVEREADY
579,EVERESTIND
580,EVINDIA
581,EXCEL
582,EXCELINDUS
583,EXICOM
584,EXIDEIND
585,EXPLEOSOL
586,EXXARO
587,FACT
588,FAIRCHEMOR
589,FAZE3Q
590,FCL
591,FCSSOFT
592,FDC
593,FEDERALBNK
594,FEDFINA
595,FEL
596,FELDVR
597,FELIX
598,FIBERWEB
599,FIEMIND
600,FILATEX
601,FILATFASH
602,FINCABLES
603,FINEORG
604,FINOPB
605,FINPIPE
606,FIRSTCRY
607,FIVESTAR
608,FLAIR
609,FLUOROCHEM
610,FMGOETZE
611,FMNL
612,FOCUS
613,FOODSIN
614,FORCEMOT
615,FORTIS
616,FOSECOIND
617,FRESHARA
618,FROG
619,FSL
620,FUSION
621,GABRIEL
622,GAEL
623,GAIL
624,GALAPREC
625,GALAXYSURF
626,GALLANTT
627,GANDHAR
628,GANDHITUBE
629,GANECOS
630,GANESHBE
631,GANESHIN
632,GANGAFORGE
633,GANGESSECU
634,GARFIBRES
635,GARUDA
636,GATECH
637,GATECHDVR
638,GATEWAY
639,GEECEE
640,GEEKAYWIRE
641,GENCON
642,GENESYS
643,GENUSPAPER
644,GENUSPOWER
645,GEOJITFSL
646,GESHIP
647,GFLLIMITED
648,GGBL
649,GHCL
650,GHCLTEXTIL
651,GICHSGFIN
652,GICRE
653,GILLANDERS
654,GILLETTE
655,GINNIFILA
656,GIPCL
657,GKWLIMITED
658,GLAND
659,GLAXO
660,GLENMARK
661,GLOBAL
662,GLOBALE
663,GLOBALVECT
664,GLOBE
665,GLOBUSSPR
666,GLOSTERLTD
667,GMBREW
668,GMDCLTD
669,GMMPFAUDLR
670,GMRAIRPORT
671,GMRP&UI
672,GNA
673,GNFC
674,GOACARBON
675,GOCLCORP
676,GOCOLORS
677,GODAVARIB
678,GODFRYPHLP
679,GODIGIT
680,GODREJAGRO
681,GODREJCP
682,GODREJIND
683,GODREJPROP
684,GOKEX
685,GOKUL
686,GOKULAGRO
687,GOLD1
688,GOLDCASE
689,GOLDENTOBC
690,GOLDIAM
691,GOLDTECH
692,GOODLUCK
693,GOPAL
694,GOYALALUM
695,GPECO
696,GPIL
697,GPPL
698,GPTHEALTH
699,GPTINFRA
700,GRANULES
701,GRAPHITE
702,GRASIM
703,GRAVITA
704,GREAVESCOT
705,GREENLAM
706,GREENPANEL
707,GREENPLY
708,GREENPOWER
709,GRINDWELL
710,GRINFRA
711,GRMOVER
712,GROWWDEFNC
713,GROWWEV
714,GROWWGOLD
715,GROWWLIQID
716,GRPLTD
717,GRSE
718,GRWRHITECH
719,GSEC10YEAR
720,GSFC
721,GSLSU
722,GSPL
723,GSS
724,GTL
725,GTLINFRA
726,GTPL
727,GUFICBIO
728,GUJALKALI
729,GUJAPOLLO
730,GUJGASLTD
731,GUJRAFFIA
732,GULFOILLUB
733,GULFPETRO
734,GULPOLY
735,GVKPIL
736,GVPTECH
737,GVT&D
738,HAL
739,HAPPSTMNDS
740,HAPPYFORGE
741,HARDWYN
742,HARIOMPIPE
743,HARRMALAYA
744,HARSHA
745,HATHWAY
746,HATSUN
747,HAVELLS
748,HAVISHA
749,HBLENGINE
750,HBSL
751,HCC
752,HCG
753,HCL-INSYS
754,HCLTECH
755,HDFCAMC
756,HDFCBANK
757,HDFCBSE500
758,HDFCGOLD
759,HDFCGROWTH
760,HDFCLIFE
761,HDFCLIQUID
762,HDFCLOWVOL
763,HDFCMID150
764,HDFCMOMENT
765,HDFCNEXT50
766,HDFCNIF100
767,HDFCNIFBAN
768,HDFCNIFIT
769,HDFCNIFTY
770,HDFCPSUBK
771,HDFCPVTBAN
772,HDFCQUAL
773,HDFCSENSEX
774,HDFCSILVER
775,HDFCSML250
776,HDFCVALUE
777,HEADSUP
778,HEALTHY
779,HECPROJECT
780,HEG
781,HEIDELBERG
782,HEMIPROP
783,HERANBA
784,HERITGFOOD
785,HEROMOTOCO
786,HESTERBIO
787,HEXATRADEX
788,HFCL
789,HGINFRA
790,HGS
791,HIKAL
792,HILTON
793,HIMATSEIDE
794,HINDALCO
795,HINDCOMPOS
796,HINDCON
797,HINDCOPPER
798,HINDOILEXP
799,HINDPETRO
800,HINDUNILVR
801,HINDWAREAP
802,HINDZINC
803,HIRECT
804,HISARMETAL
805,HITECH
806,HITECHCORP
807,HITECHGEAR
808,HLEGLAS
809,HLVLTD
810,HMAAGRO
811,HMT
812,HMVL
813,HNDFDS
814,HOMEFIRST
815,HONASA
816,HONAUT
817,HONDAPOWER
818,HPAL
819,HPIL
820,HPL
821,HSCL
822,HTMEDIA
823,HUBTOWN
824,HUDCO
825,HUHTAMAKI
826,HYBRIDFIN
827,HYUNDAI
828,ICDSLTD
829,ICEMAKE
830,ICICIB22
831,ICICIBANK
832,ICICIGI
833,ICICIPRULI
834,ICIL
835,ICRA
836,IDBI
837,IDEA
838,IDEAFORGE
839,IDFCFIRSTB
840,IDFNIFTYET
841,IEX
842,IFBAGRO
843,IFBIND
844,IFCI
845,IFGLEXPOR
846,IGARASHI
847,IGIL
848,IGL
849,IGPL
850,IIFL
851,IIFLCAPS
852,IITL
853,IKIO
854,IKS
855,IL&FSENGG
856,IL&FSTRANS
857,IMAGICAA
858,IMFA
859,IMPAL
860,INCREDIBLE
861,INDBANK
862,INDGN
863,INDHOTEL
864,INDIACEM
865,INDIAGLYCO
866,INDIAMART
867,INDIANB
868,INDIANCARD
869,INDIANHUME
870,INDIASHLTR
871,INDIGO
872,INDIGOPNTS
873,INDNIPPON
874,INDOAMIN
875,INDOBORAX
876,INDOCO
878,INDORAMA
879,INDOSTAR
880,INDOTECH
881,INDOTHAI
882,INDOUS
883,INDOWIND
884,INDRAMEDCO
885,INDSWFTLAB
886,INDTERRAIN
887,INDUSINDBK
888,INDUSTOWER
889,INFIBEAM
890,INFOBEAN
891,INFY
892,INGERRAND
893,INNOVACAP
894,INNOVANA
895,INOXGREEN
896,INOXINDIA
897,INOXWIND
898,INSECTICID
899,INSPIRISYS
900,INTELLECT
901,INTENTECH
902,INTERARCH
903,INTLCONV
904,INVENTURE
905,IOB
906,IOC
907,IOLCP
908,IONEXCHANG
909,IPCALAB
910,IPL
911,IRB
912,IRCON
913,IRCTC
914,IREDA
915,IRFC
916,IRIS
917,IRISDOREME
918,IRMENERGY
919,ISFT
920,ISGEC
921,IT
922,ITC
923,ITDC
924,ITI
925,IVC
926,IVP
927,IVZINGOLD
928,IXIGO
929,IZMO
930,J&KBANK
931,JAGRAN
932,JAGSNPHARM
933,JAIBALAJI
934,JAICORPLTD
935,JAIPURKURT
936,JAMNAAUTO
937,JASH
938,JAYAGROGN
939,JAYBARMARU
940,JAYBEE
941,JAYNECOIND
942,JAYSREETEA
943,JBCHEPHARM
944,JBMA
945,JETFREIGHT
946,JGCHEM
947,JHS
948,JINDALPHOT
949,JINDALPOLY
950,JINDALSAW
951,JINDALSTEL
952,JINDRILL
953,JINDWORLD
954,JIOFIN
955,JISLDVREQS
956,JISLJALEQS
957,JITFINFRA
958,JKCEMENT
959,JKIL
960,JKLAKSHMI
961,JKPAPER
962,JKTYRE
963,JLHL
964,JMA
965,JMFINANCIL
966,JNKINDIA
967,JOCIL
968,JPOLYINVST
969,JPPOWER
970,JSFB
971,JSL
972,JSLL
973,JSWENERGY
974,JSWHL
975,JSWINFRA
976,JSWSTEEL
977,JTEKTINDIA
978,JTLIND
979,JUBLFOOD
980,JUBLINGREA
981,JUBLPHARMA
982,JUNIPER
983,JUSTDIAL
984,JWL
985,JYOTHYLAB
986,JYOTICNC
987,JYOTISTRUC
988,KABRAEXTRU
989,KAJARIACER
990,KAKATCEM
991,KALAMANDIR
992,KALYANIFRG
993,KALYANKJIL
994,KAMATHOTEL
995,KAMDHENU
996,KAMOPAINTS
997,KANANIIND
998,KANORICHEM
999,KANPRPLA
1000,KANSAINER
1001,KAPSTON
1002,KARMAENG
1003,KARURVYSYA
1004,KAUSHALYA
1005,KAYA
1006,KAYNES
1007,KCEIL
1008,KCP
1009,KCPSUGIND
1010,KDDL
1011,KDL
1012,KEC
1013,KECL
1014,KEEPLEARN
1015,KEI
1016,KELLTONTEC
1017,KERNEX
1018,KESORAMIND
1019,KEYFINSERV
1020,KFINTECH
1021,KHADIM
1022,KHAICHEM
1023,KHAITANLTD
1024,KHANDSE
1025,KICL
1026,KILITCH
1027,KIMS
1028,KINGFA
1029,KIOCL
1030,KIRIINDUS
1031,KIRLOSBROS
1032,KIRLOSENG
1033,KIRLOSIND
1034,KIRLPNU
1035,KITEX
1036,KKCL
1038,KMEW
1039,KMSUGAR
1040,KNRCON
